,기준연도,학교종류,설립구분,지역,상태,학교,입학금,수업료,등록금,인문사회,자연과학,예체능,공학,의학,온라인,사립구분
124,2019,대학교,사립,충북,기존,세명대학교,420000.0,6836400.0,6836400.0,6012000.0,7193100.0,7569000.0,7569000.0,8866000.0,off,사립
125,2019,대학교,사립,서울,기존,세종대학교,672000.0,7857500.0,7857500.0,6220000.0,7404000.0,8443900.0,8548000.0,,off,사립
126,2019,사이버대학(대학),사립,서울,기존,세종사이버대학교,300000.0,2779900.0,2779900.0,2778600.0,2880000.0,2784600.0,2775900.0,,on,사립
127,2019,대학교,사립,전남,기존,세한대학교,333000.0,6483900.0,6483900.0,5757000.0,6478400.0,6744300.0,7746800.0,,off,사립
128,2019,대학교,사립,광주,기존,송원대학교,300000.0,6425400.0,6425400.0,5849400.0,6715000.0,6759600.0,6900000.0,,off,사립
129,2019,대학교,사립,경기,기존,수원가톨릭대학교,,5097000.0,5097000.0,5097000.0,,,,,off,사립
130,2019,대학교,사립,경기,기존,수원대학교,,7520000.0,7520000.0,6193600.0,7312200.0,8275000.0,8049200.0,,off,사립
131,2019,대학교,사립,서울,기존,숙명여자대학교,619000.0,8024600.0,8024600.0,7010600.0,8779900.0,9616900.0,9194000.0,,off,사립
133,2019,대학교,국립,전남,기존,순천대학교,,3946200.0,3946200.0,3306000.0,4121000.0,4257700.0,4324000.0,,off,국공립
134,2019,대학교,사립,충남,기존,순천향대학교,560000.0,7807300.0,7807300.0,7034900.0,7921700.0,7779100.0,8294000.0,10040000.0,off,사립
135,2019,대학교,사립,서울,기존,숭실대학교,612000.0,7923800.0,7923800.0,6975200.0,7899600.0,8837100.0,8785500.0,,off,사립
136,2019,사이버대학(대학),사립,서울,기존,숭실사이버대학교,300000.0,2773300.0,2773300.0,2768200.0,,,2783800.0,,on,사립
137,2019,대학교,사립,경기,기존,신경대학교,578000.0,6886200.0,6886200.0,6418600.0,7281200.0,7089200.0,,,off,사립
138,2019,대학교,사립,부산,기존,신라대학교,360000.0,6639500.0,6639500.0,5706900.0,7078900.0,7511800.0,7801300.0,,off,사립
139,2019,대학교,사립,경기,기존,신한대학교,658000.0,9079000.0,9079000.0,7500000.0,9100000.0,,9700000.0,,off,사립
140,2019,대학교,사립,경기,기존,신한대학교 _제2캠퍼스,658000.0,8542600.0,8542600.0,7500000.0,9100000.0,9600000.0,9700000.0,,off,사립
141,2019,대학교,사립,경기,기존,아세아연합신학대학교,180000.0,6556000.0,6556000.0,6556000.0,,,,,off,사립
142,2019,대학교,사립,경기,기존,아주대학교,612000.0,8259700.000000001,8259700.000000001,6956200.0,8370100.0,6748000.0,8852000.0,11240000.0,off,사립
143,2019,대학교,국립,경북,기존,안동대학교,,3748800.0,3748800.0,3193000.0,3815500.0,4155600.0000000005,4175399.9999999995,,off,국공립
144,2019,대학교,사립,경기,기존,안양대학교,595000.0,7553300.0,7553300.0,6661800.0,7810700.0,8428100.0,8396000.0,,off,사립
145,2019,대학교,사립,인천,기존,안양대학교 _제2캠퍼스,595000.0,7618000.0,7618000.0,6654000.0,,,8396000.0,,off,사립
146,2019,대학교,사립,서울,기존,연세대학교,669000.0,9153900.0,9153900.0,8464600.0,9095800.0,9499800.0,9763400.0,12104000.0,off,사립
147,2019,대학교,사립,강원,기존,연세대학교(미래) _분교,669000.0,8403800.0,8403800.0,7518700.0,8350600.0,,9324000.0,12104000.0,off,사립
148,2019,대학교,사립,경북,기존,영남대학교,427000.0,7391500.0,7391500.0,5826000.0,8233200.000000001,8809400.0,8150000.0,10662000.0,off,사립
149,2019,대학교,사립,경북,기존,영남신학대학교,330000.0,6066800.0,6066800.0,6066800.0,,,,,off,사립
150,2019,대학교,사립,경남,기존,영산대학교,329000.0,6732100.0,6732100.0,5699600.0,7194000.0,6598000.0,7358000.0,,off,사립
151,2019,대학교,사립,부산,기존,영산대학교 _제2캠퍼스,329000.0,6359000.0,6359000.0,5432000.0,7001700.0,7092100.0,7358000.0,,off,사립
152,2019,대학교,사립,전남,기존,영산선학대학교,,2000000.0,2000000.0,2000000.0,,,,,off,사립
153,2019,대학교,사립,전북,기존,예수대학교,269000.0,6705600.0,6705600.0,5114000.0,6954000.0,,,,off,사립
154,2019,대학교,사립,전북,기존,예원예술대학교,345000.0,7938900.0,7938900.0,5990000.0,,8009000.0,,,off,사립
155,2019,대학교,사립,경기,기존,예원예술대학교 _제2캠퍼스,345000.0,8363000.0,8363000.0,,,8363000.0,,,off,사립
156,2019,대학교,사립,경기,기존,용인대학교,531000.0,7651000.0,7651000.0,6892300.0,7672000.0,7991600.0,,,off,사립
157,2019,대학교,사립,전북,기존,우석대학교,347000.0,6920200.0,6920200.0,5924600.0,7203900.0,7141400.0,7898000.0,9256000.0,off,사립
158,2019,대학교,사립,대전,기존,우송대학교,390000.0,7134900.0,7134900.0,6959100.0,7293100.0,7383800.0,7221700.0,,off,사립
159,2019,대학교,특별법법인,울산,기존,울산과학기술원,,6165900.0,6165900.0,5300000.0,6288000.0,,6288000.0,,off,국공립
160,2019,대학교,사립,울산,기존,울산대학교,411000.0,7295500.0,7295500.0,5750000.0,7483400.0,8404600.0,8126600.0,10918000.0,off,사립
161,2019,대학교,사립,전북,기존,원광대학교,345000.0,7395400.0,7395400.0,6054700.0,7682500.0,7596700.0,8044200.0,9736400.0,off,사립
162,2019,사이버대학(대학),사립,전북,기존,원광디지털대학교,300000.0,2783000.0,2783000.0,2775500.0,2785900.0,2808000.0,,,on,사립
163,2019,대학교,사립,경북,기존,위덕대학교,411000.0,7324100.0,7324100.0,6425500.0,7988000.0,8428000.0,7988000.0,,off,사립
164,2019,대학교,사립,충북,기존,유원대학교,448000.0,7317100.0,7317100.0,6300000.0,7880000.0,7880000.0,7880000.0,,off,사립
165,2019,대학교,사립,대전,기존,을지대학교,535000.0,9077600.0,9077600.0,,8686100.0,,,10320500.0,off,사립
166,2019,대학교,사립,경기,기존,을지대학교 _제2캠퍼스,535000.0,8391800.0,8391800.0,7745500.0,8489900.0,8752100.0,8738200.0,,off,사립
167,2019,대학교,사립,서울,기존,이화여자대학교,643000.0,8634700.0,8634700.0,7510800.0,9172100.0,9921600.0,9429500.0,12896000.0,off,사립
