,기준연도,학교종류,지역,학교,온라인,구분,입학금,수업료,등록금,인문사회,자연과학,예체능,공학,의학
191,2020,대학교,경남,창신대학교,off,사립,240000.0,6336730.0,6336730.0,5541363.6,6656000.0,6911169.8,7429859.2,0.0
192,2020,대학교,경남,창원대학교,off,국립,0.0,3893790.6,3893790.6,3389129.1,4040871.0,4314600.0,4382967.9,0.0
193,2020,산업대학,충남,청운대학교,off,사립,308000.0,7291448.1,7291448.1,6882305.9,7588000.0,7834561.7,7588000.0,0.0
194,2020,교육대학,충북,청주교육대학교,off,국립,0.0,3230000.0,3230000.0,3230000.0,0.0,0.0,0.0,0.0
195,2020,대학교,충북,청주대학교,off,사립,416000.0,7620520.3,7620520.3,6837506.3,7862776.5,8219949.8,8307369.7,0.0
196,2020,대학교,전남,초당대학교,off,사립,160000.0,6544322.0,6544322.0,5618534.8,6664000.0,6664000.0,7540235.3,0.0
197,2020,대학교,서울,총신대학교,off,사립,459125.7,6920336.6,6920336.6,6553411.6,0.0,8733378.2,0.0,0.0
198,2020,대학교,서울,추계예술대학교,off,사립,416000.0,8676973.6,8676973.6,6844755.9,0.0,9229029.7,0.0,0.0
199,2020,교육대학,강원,춘천교육대학교,off,국립,0.0,3185000.0,3185000.0,3185056.2,3184895.6,3185047.0,0.0,0.0
200,2020,대학교,대전,충남대학교,off,국립,0.0,4360136.9,4360136.9,3371922.6,4281310.1,4589432.7,4844000.0,8308317.1
201,2020,대학교,충북,충북대학교,off,국립,0.0,4273416.5,4273416.5,3512136.9,4348550.6,4448214.3,4609538.2,7477557.9
202,2020,대학교,경기,칼빈대학교,off,사립,330000.0,7220326.1,7220326.1,7021025.6,0.0,8330714.3,0.0,0.0
203,2020,대학교,서울,케이씨대학교,off,사립,272000.0,7045146.4,7045146.4,6206334.2,8800000.0,8053200.0,0.0,0.0
204,2020,대학교,경기,평택대학교,off,사립,436800.0,7517380.1,7517380.1,6700000.0,7840000.0,8712000.0,8200000.0,0.0
205,2020,대학교,경북,포항공과대학교,off,사립,269000.0,5580000.0,5580000.0,0.0,5580000.0,0.0,5580000.0,0.0
206,2020,대학교,경기,한경대학교,off,국립,0.0,4057247.8,4057247.8,3604640.0,3967440.0,4257757.0,4217814.3,0.0
207,2020,대학교,대전,한국과학기술원,off,국립,0.0,6866000.0,6866000.0,6866000.0,6866000.0,0.0,6866000.0,0.0
208,2020,대학교,충북,한국교원대학교,off,국립,0.0,3182780.2,3182780.2,2874000.0,3473076.9,3799627.1,3600000.0,0.0
209,2020,대학교,충북,한국교통대학교,off,국립,0.0,4105784.1,4105784.1,3719647.8,4135534.2,4435227.3,4237546.9,0.0
210,2020,대학교,경남,한국국제대학교,off,사립,212000.0,6357217.7,6357217.7,5552980.5,6813156.9,6401333.3,7081637.8,0.0
211,2020,대학교,충남,한국기술교육대학교,off,사립,0.0,4529842.1,4529842.1,3303000.0,0.0,0.0,4727500.0,0.0
212,2020,방송통신대학,서울,한국방송통신대학교,on,국립,0.0,756111.7,756111.7,731424.1,731600.0,0.0,2184714.3,0.0
213,2020,대학교,경기,한국산업기술대학교,off,사립,300000.0,8996231.9,8996231.9,7900000.0,0.0,9120000.0,9120000.0,0.0
214,2020,대학교,서울,한국성서대학교,off,사립,180000.0,7081716.2,7081716.2,6720000.0,7940000.0,0.0,7500000.0,0.0
215,2020,사이버대학(대학),서울,한국열린사이버대학교,on,사립,195000.0,2144470.6,2144470.6,2148789.5,2108000.0,0.0,0.0,0.0
218,2020,대학교,충남,한국전통문화대학교,off,국립,0.0,3268785.7,3268785.7,2794833.3,3631000.0,3419000.0,3499500.0,0.0
219,2020,대학교,서울,한국체육대학교,off,국립,0.0,3865856.2,3865856.2,0.0,0.0,3865856.2,0.0,0.0
220,2020,대학교,대전,한국침례신학대학교,off,사립,306000.0,5998828.5,5998828.5,5648583.9,0.0,7588400.0,0.0,0.0
221,2020,대학교,경기,한국항공대학교,off,사립,478000.0,8467907.8,8467907.8,6818546.4,8341608.5,0.0,8841553.0,0.0
222,2020,대학교,부산,한국해양대학교,off,국립,0.0,3728945.8,3728945.8,3284000.0,3994000.0,3994000.0,3822274.1,0.0
